Airport Name,ICAO,IATA,City,Country,Country Code
Auckland International Airport,NZAA,AKL,Auckland,New Zealand,NZ
Queenstown,NZQN,ZQN,Queenstown,New Zealand,NZ
Wellington International Airport,NZWN,WLG,Wellington,New Zealand,NZ
Christchurch International Airport,NZCH,CHC,Christchurch,New Zealand,NZ
Dunedin Airport,NZDN,DUD,Dunedin,New Zealand,NZ
Hawke's Bay Airport,NZNR,NPE,Napier,New Zealand,NZ
Nelson Airport,NZNS,NSN,Nelson,New Zealand,NZ
Hamilton Airport,NZHN,HLZ,Hamilton,New Zealand,NZ
Invercargill Airport,NZNV,IVC,Ivercargill,New Zealand,NZ
Tauranga Airport,NZTG,TRG,Tauranga,New Zealand,NZ
Whangārei Airport,NZWR,WRE,Whangārei,New Zealand,NZ
Rotorua Airport,NZRO,ROT,Rotorua Airport,New Zealand,NZ
Palmerston North Airport,NZPM,PMR,Palmerston North,New Zealand,NZ
Hokitika Aerodrome,NZHK,HKK,Hokitika,New Zealand,NZ
Wanaka Airport,NZWF,WKA,Wanaka,New Zealand,NZ
Westport Airport,NZWS,WSZ,Kawatiri/Westport,New Zealand,NZ
Woodbourne/Marlborough Airport,NZWB,BHE,Woodbourne,New Zealand,NZ
Mount Cook Aerodrome,NZMC,MON,Mount Cook,New Zealand,NZ
Kingsford Smith International Airport,YSSY,SYD,Sydney,Australia,AU
Melbourne International Airport,YMML,MEL,Melbourne,Australia,AU
Brisbane Airport,YBBN,BNE,Brisbane,Australia,AU
Canberra Airport,YSCB,CBR,Canberra,Australia,AU
Hobart Airport,YMHB,HBA,Hobart,Australia,AU
Gold Cost Airport,YBCG,OOL,Gold Coast,Australia,AU
Perth Airport,YPPH,PER,Perth,Australia,AU
Darwin International Airport,YPDN,DRW,Darwin,Australia,AU
Rarotonga International Airport,NCRG,RAR,Rarotonga (Cook Islands),Cook Islands,CK
Nadi International Airport,NFFN,NAN,Nadi (Fiji),Fiji,FJ
