Flight Number,Origin,Destination,Tags,Departure Time (HH:MM),Arrival Time (HH:MM),Service Days,Fleet IDs,Pax LF ID,Pax Luggage LF ID,Cargo LF ID,Cargo Volume LF ID,Callsign,Type,Is Hidden,Flight Rules,Flight Type,Allow Callsign Change,_delete
X2222,NZCH,NZNV,C-0001,02:45,04:10,"monday,tuesday,wednesday,thursday,friday,sunday",16300,25261,25262,25263,25265,XZA222,scheduled,False,i,s,False,False
X2223,NZNV,NZCH,C-0001,04:45,06:05,"monday,tuesday,wednesday,thursday,friday,sunday",16300,25261,25262,25263,25265,XZA223,scheduled,False,i,s,False,False
X2220,NZCH,NZNV,C-0001,08:00,09:25,"monday,tuesday,wednesday,thursday,friday,sunday",16300,25261,25262,25263,25265,XZA220,scheduled,False,i,s,False,False
X2221,NZNV,NZCH,C-0001,19:00,20:20,"monday,tuesday,wednesday,thursday,sunday",16300,25261,25262,25263,25265,XZA221,scheduled,False,i,s,False,False
X2180,NZCH,NZPM,C-0001,21:35,22:55,"monday,wednesday",16300,25261,25262,25263,25265,XZA180,scheduled,False,i,s,False,False
X2181,NZPM,NZCH,C-0001,23:55,01:20,"monday,wednesday",16300,25261,25262,25263,25265,XZA181,scheduled,False,i,s,False,False
X2170,NZCH,NZNR,C-0001,21:35,23:05,"tuesday,thursday,sunday",16300,25261,25262,25263,25265,XZA170,scheduled,False,i,s,False,False
X2171,NZNR,NZCH,C-0001,23:45,01:20,"tuesday,thursday,sunday",16300,25261,25262,25263,25265,XZA171,scheduled,False,i,s,False,False
X2221,NZNV,NZCH,C-0001,21:05,22:25,"friday,saturday",16300,25261,25262,25263,25265,XZA221,scheduled,False,i,s,False,False
X2170,NZCH,NZNR,C-0001,23:50,01:20,friday,16300,25261,25262,25263,25265,XZA170,scheduled,False,i,s,False,False
X2171,NZNR,NZCH,C-0001,02:05,03:40,saturday,16300,25261,25262,25263,25265,XZA171,scheduled,False,i,s,False,False
X2220,NZCH,NZNV,C-0001,05:35,07:00,saturday,16300,25261,25262,25263,25265,XZA220,scheduled,False,i,s,False,False
X2212,NZCH,NZDN,C-0002,02:40,03:55,"monday,tuesday,wednesday,thursday,friday,sunday",16300,25261,25262,25263,25265,XZA212,scheduled,False,i,s,False,False
X2213,NZDN,NZCH,C-0002,04:30,05:40,"monday,tuesday,wednesday,thursday,friday,sunday",16300,25261,25262,25263,25265,XZA213,scheduled,False,i,s,False,False
X2210,NZCH,NZDN,C-0002,08:10,09:25,"monday,tuesday,wednesday,thursday,friday,sunday",16300,25261,25262,25263,25265,XZA210,scheduled,False,i,s,False,False
X2211,NZDN,NZCH,C-0002,19:05,20:15,"monday,tuesday,wednesday,thursday,sunday",16300,25261,25262,25263,25265,XZA211,scheduled,False,i,s,False,False
X2150,NZCH,NZHN,C-0002,21:20,22:55,"monday,tuesday,wednesday,thursday,saturday,sunday",16300,25261,25262,25263,25265,XZA150,scheduled,False,i,s,False,False
X2151,NZHN,NZCH,C-0002,23:45,01:25,"monday,tuesday,wednesday,thursday,saturday,sunday",16300,25261,25262,25263,25265,XZA151,scheduled,False,i,s,False,False
X2211,NZDN,NZCH,C-0002,19:35,20:45,friday,16300,25261,25262,25263,25265,XZA211,scheduled,False,i,s,False,False
X2150,NZCH,NZHN,C-0002,21:45,23:20,friday,16300,25261,25262,25263,25265,XZA150,scheduled,False,i,s,False,False
X2151,NZHN,NZCH,C-0002,00:00,01:40,saturday,16300,25261,25262,25263,25265,XZA151,scheduled,False,i,s,False,False
X2142,NZCH,NZTG,C-0002,02:45,04:25,saturday,16300,25261,25262,25263,25265,XZA142,scheduled,False,i,s,False,False
